ID,VERSION,STORE_ID,UUID,TRANSACTION_ID,TYPE_QNAME_ID,LOCALE_ID,ACL_ID,AUDIT_CREATOR,AUDIT_CREATED,AUDIT_MODIFIER,AUDIT_MODIFIED,AUDIT_ACCESSED
3600,3,6,4a74aa8b-3449-4f96-85a9-54195d7d9c77,790,258,2,66,bvos,2020-08-08T22:25:17.943Z,bvos,2020-08-08T22:25:17.943Z,
4010,3,6,fc9c34c4-8679-4daa-b474-cf11a1ed7ae7,929,258,2,66,bvos,2020-08-08T23:10:55.603Z,bvos,2020-08-08T23:10:55.603Z,
4335,3,6,b5dd4df3-2e0b-4d89-80fe-15e883f83426,1039,258,2,66,bvos,2020-08-09T00:57:09.762Z,bvos,2020-08-09T00:57:09.762Z,
4221,3,6,4a2db929-f3e3-457e-ba36-8ca3ee100dff,1000,258,2,66,bvos,2020-08-09T00:02:05.154Z,bvos,2020-08-09T00:02:05.154Z,
4237,3,6,f76e9769-1eab-44af-b57f-6df8215dd89d,1006,258,2,66,bvos,2020-08-09T00:04:41.210Z,bvos,2020-08-09T00:04:41.210Z,
4224,3,6,b8772542-18fa-4402-be2d-582f7d3bb6bb,1001,258,2,66,bvos,2020-08-09T00:02:49.713Z,bvos,2020-08-09T00:02:49.713Z,
4227,3,6,23378e3b-a7f7-40ef-9bb7-efd4b610b375,1002,258,2,66,bvos,2020-08-09T00:03:45.083Z,bvos,2020-08-09T00:03:45.083Z,
3864,3,6,b435da0b-cf0e-4540-bc93-263eb161f21f,879,258,2,66,bvos,2020-08-08T22:53:28.160Z,bvos,2020-08-08T22:53:28.160Z,
4190,3,6,8e98ba1a-d216-4a6a-9f90-e8be2692f581,989,258,2,66,bvos,2020-08-08T23:46:07.038Z,bvos,2020-08-08T23:46:07.038Z,
4264,3,6,f8c3ee76-c6b3-42a6-b7e0-a652115a3b90,1015,258,2,66,bvos,2020-08-09T00:19:27.343Z,bvos,2020-08-09T00:19:27.343Z,
4276,3,6,911865c5-c5a1-4ffc-9d53-295906a5e339,1019,258,2,66,bvos,2020-08-09T00:44:03.379Z,bvos,2020-08-09T00:44:03.379Z,
4288,3,6,e169d2d1-d1d6-411c-a60a-f97c17eed316,1023,258,2,66,bvos,2020-08-09T00:50:56.008Z,bvos,2020-08-09T00:50:56.008Z,
4294,3,6,0a0905b2-9859-4381-bf1f-72e21cd17843,1025,258,2,66,bvos,2020-08-09T00:53:36.367Z,bvos,2020-08-09T00:53:36.367Z,
4306,3,6,5cb11b7d-a47d-40ce-9f89-581c3eab0abc,1029,258,2,66,bvos,2020-08-09T00:54:46.264Z,bvos,2020-08-09T00:54:46.264Z,
3632,3,6,5680d429-b714-4d49-b9fb-957b94a2edc6,801,258,2,66,bvos,2020-08-08T22:30:10.766Z,bvos,2020-08-08T22:30:10.766Z,
3700,3,6,d225d86d-503d-4b57-9ef2-ceda377120ce,824,258,2,66,bvos,2020-08-08T22:42:15.637Z,bvos,2020-08-08T22:42:15.637Z,
3762,3,6,bfc4862c-50f2-4b69-8040-be3fc94161f0,845,258,2,66,bvos,2020-08-08T22:45:10.125Z,bvos,2020-08-08T22:45:10.125Z,
3879,3,6,7bcb2964-93a9-4578-b6f4-bb7471e0ac7f,884,258,2,66,bvos,2020-08-08T22:53:37.124Z,bvos,2020-08-08T22:53:37.124Z,
3962,3,6,46a96ead-74f3-47af-bf61-25a14affe161,913,258,2,66,bvos,2020-08-08T23:01:05.295Z,bvos,2020-08-08T23:01:05.295Z,
5187,3,6,45c54465-9b5b-4231-bd55-011fbc0ec072,1342,258,2,66,bvos,2020-08-09T03:23:54.113Z,bvos,2020-08-09T03:23:54.113Z,
4056112,3,6,d2fbfa8a-006b-40e8-ae97-04c621c8e149,1383455,258,2,66,bvos,2020-08-23T01:01:07.925Z,bvos,2020-08-23T01:01:07.925Z,
57765,3,6,36a819f2-4b74-41b9-938b-243928172829,18171,258,2,66,bvos,2020-08-16T08:27:47.182Z,bvos,2020-08-16T08:27:47.182Z,
57711,3,6,831ed879-2913-4db8-bb0b-b6a3e4329e1e,18150,258,2,66,bvos,2020-08-16T07:54:21.487Z,bvos,2020-08-16T07:54:21.487Z,
3183126,3,6,2870d0c5-6066-4dea-8da7-894d37557a0e,1083177,258,2,66,bvos,2020-08-19T08:34:24.033Z,bvos,2020-08-19T08:34:24.033Z,
3183532,3,6,afe03d65-8eda-41c7-9f4e-9a828768627d,1083315,258,2,66,bvos,2020-08-19T08:34:41.226Z,bvos,2020-08-19T08:34:41.226Z,
3183583,3,6,225f433e-5de5-41c6-b18e-ba12df301033,1083332,258,2,66,bvos,2020-08-19T08:34:42.841Z,bvos,2020-08-19T08:34:42.841Z,
