ID,VERSION,STORE_ID,UUID,TRANSACTION_ID,TYPE_QNAME_ID,LOCALE_ID,ACL_ID,AUDIT_CREATOR,AUDIT_CREATED,AUDIT_MODIFIER,AUDIT_MODIFIED,AUDIT_ACCESSED
4001,3,6,2a8fa014-335c-4f31-b90c-5e82f8a2614f,926,258,2,66,bvos,2020-08-08T23:06:25.445Z,bvos,2020-08-08T23:06:25.445Z,
4329,3,6,1ffd8a71-239f-47a8-b07f-5cff31041ade,1037,258,2,66,bvos,2020-08-09T00:56:05.676Z,bvos,2020-08-09T00:56:05.676Z,
4267,3,6,d1719aac-9e9b-4d10-a97c-789cf0a5b621,1016,258,2,66,bvos,2020-08-09T00:34:40.882Z,bvos,2020-08-09T00:34:40.882Z,
3683,3,6,c82ff249-54e0-4702-8e50-e60fa5728235,818,258,2,66,bvos,2020-08-08T22:38:55.132Z,bvos,2020-08-08T22:38:55.132Z,
4230,3,6,fc8e6f3b-ac82-4032-b6da-412c8714e961,1003,258,2,66,bvos,2020-08-09T00:04:37.560Z,bvos,2020-08-09T00:04:37.560Z,
4240,3,6,22e91d40-c6cb-49c3-ae79-fe353c67d3e7,1007,258,2,66,bvos,2020-08-09T00:06:05.512Z,bvos,2020-08-09T00:06:05.512Z,
4025,3,6,89e25cc1-d382-4bed-959a-4954d3df69f1,934,258,2,66,bvos,2020-08-08T23:13:36.387Z,bvos,2020-08-08T23:13:36.387Z,
4246,3,6,0e8e4d30-9434-4e2e-8abd-3e5728de4bd4,1009,258,2,66,bvos,2020-08-09T00:07:41.306Z,bvos,2020-08-09T00:07:41.306Z,
4013,3,6,ef60527e-6e0f-4e03-bad0-0bf746a6819b,930,258,2,66,bvos,2020-08-08T23:10:57.238Z,bvos,2020-08-08T23:10:57.238Z,
4252,3,6,6d7dab47-c61d-49d4-8162-b53d20f8e2c5,1011,258,2,66,bvos,2020-08-09T00:09:10.737Z,bvos,2020-08-09T00:09:10.737Z,
4258,3,6,76bce2b4-af2a-49d7-a779-30c79be53924,1013,258,2,66,bvos,2020-08-09T00:10:49.758Z,bvos,2020-08-09T00:10:49.758Z,
4273,3,6,43ec9ec3-15ce-46b2-b7c8-4459a5e4fd39,1018,258,2,66,bvos,2020-08-09T00:37:08.767Z,bvos,2020-08-09T00:37:08.767Z,
4279,3,6,63c6c7ef-4216-4e52-a669-55ba9798a746,1020,258,2,66,bvos,2020-08-09T00:45:04.270Z,bvos,2020-08-09T00:45:04.270Z,
4282,3,6,cd3b3ae0-1c48-4219-8fa2-304ca5541657,1021,258,2,66,bvos,2020-08-09T00:48:59.513Z,bvos,2020-08-09T00:48:59.513Z,
4297,3,6,79b82cb8-0385-428a-9695-c372a9386ea1,1026,258,2,66,bvos,2020-08-09T00:53:39.509Z,bvos,2020-08-09T00:53:39.509Z,
4303,3,6,1398c6c4-cf7b-45e2-a9e2-0285326a0728,1028,258,2,66,bvos,2020-08-09T00:54:34.699Z,bvos,2020-08-09T00:54:34.699Z,
3721,3,6,966bad05-4efe-45b9-8415-3f5c9e9b5478,831,258,2,66,bvos,2020-08-08T22:43:34.315Z,bvos,2020-08-08T22:43:34.315Z,
3906,3,6,ff5a4ea9-b86d-4e0f-b556-26270cb34664,893,258,2,66,bvos,2020-08-08T22:57:01.664Z,bvos,2020-08-08T22:57:01.664Z,
4553,3,6,b8ca3d0a-6fc1-43d8-affa-b80b5d8e10f5,1113,258,2,66,bvos,2020-08-09T01:17:42.252Z,bvos,2020-08-09T01:17:42.252Z,
4409,3,6,f37b5097-24d0-4dea-ab15-53d530ec7f69,1065,258,2,66,bvos,2020-08-09T01:05:27.782Z,bvos,2020-08-09T01:05:27.782Z,
4373,3,6,e9a3b3c7-2ddc-4c5b-8c17-06909bf4ebf6,1053,258,2,66,bvos,2020-08-09T01:03:17.234Z,bvos,2020-08-09T01:03:17.234Z,
5070,3,6,becea53f-62e7-4691-b2ed-cea8cae40627,1293,258,2,66,bvos,2020-08-09T02:46:59.460Z,bvos,2020-08-09T02:46:59.460Z,
5067,3,6,adcdfe66-7349-4db2-af9e-3d8b3a54dac5,1292,258,2,66,bvos,2020-08-09T02:45:17.279Z,bvos,2020-08-09T02:45:17.279Z,
5255,3,6,bc015fd9-8b0d-4ab5-8b42-473edb2e3b1c,1365,258,2,66,bvos,2020-08-09T03:30:19.568Z,bvos,2020-08-09T03:30:19.568Z,
5326,3,6,67094fed-92dc-4835-bac9-ec4e0fc3d24e,1389,258,2,66,bvos,2020-08-09T03:36:05.944Z,bvos,2020-08-09T03:36:05.944Z,
12134,3,6,1acf7d22-e502-4af3-9582-d5b5ba40e327,3715,258,2,66,bvos,2020-08-10T10:24:06.176Z,bvos,2020-08-10T10:24:06.176Z,
16295,3,6,d95395d5-c2da-45e7-97d4-041db6bbbda0,5161,258,2,66,bvos,2020-08-11T04:59:54.212Z,bvos,2020-08-11T04:59:54.212Z,
25815,3,6,1a0fe763-bc2c-4c3f-9a1f-1e65f23e2f5a,8407,258,2,66,bvos,2020-08-12T05:54:15.662Z,bvos,2020-08-12T05:54:15.662Z,
35746,3,6,5c4be315-987d-48be-8459-a61baf7b907e,11571,258,2,66,bvos,2020-08-13T05:49:11.618Z,bvos,2020-08-13T05:49:11.618Z,
38912,3,6,d4270967-5117-4a5e-91a0-0a2b1996667b,12611,258,2,66,bvos,2020-08-13T08:55:56.391Z,bvos,2020-08-13T08:55:56.391Z,
10490871,3,6,84821142-a6e6-43a3-8f8c-8869ac094199,3533542,258,2,66,bvos,2020-09-15T06:03:17.642Z,bvos,2020-09-15T06:03:17.642Z,
46878,3,6,ff7b4874-0304-4da5-abb7-072b9e2b9fea,15035,258,2,66,bvos,2020-08-14T07:12:51.776Z,bvos,2020-08-14T07:12:51.776Z,
49074,3,6,cf7cf41e-aec2-4da2-a468-669dadd7f288,15743,258,2,66,bvos,2020-08-14T09:54:52.383Z,bvos,2020-08-14T09:54:52.383Z,
57714,3,6,435d9046-5286-4b1a-8a76-d8ecea6d3155,18151,258,2,66,bvos,2020-08-16T07:54:21.694Z,bvos,2020-08-16T07:54:21.694Z,
58636,3,6,259699e1-241d-4079-9bf8-4d0b7956beda,18511,258,2,66,bvos,2020-08-16T15:37:04.673Z,bvos,2020-08-16T15:37:04.673Z,
64266,3,6,cbc6cfb7-71cb-4523-8d68-61c54fe0d47b,20515,258,2,66,bvos,2020-08-16T15:42:38.087Z,bvos,2020-08-16T15:42:38.087Z,
